Date,Open,High,Low,Close,Adj Close,Volume
2010-02-12,17173.638672,17211.802734,16944.656250,16982.820313,16982.820313,500628
2010-02-15,null,null,null,null,null,null
2010-02-16,null,null,null,null,null,null
2010-02-17,null,null,null,null,null,null
2010-02-18,null,null,null,null,null,null
2010-02-19,null,null,null,null,null,null
2010-02-22,17173.638672,17440.783203,17173.638672,17249.964844,17249.964844,740306
2010-02-23,17249.964844,17249.964844,17020.984375,17249.964844,17249.964844,1239998
2010-02-24,17288.128906,17746.093750,17097.310547,17746.093750,17746.093750,1855451
2010-02-25,17746.093750,17936.910156,17478.947266,17936.910156,17936.910156,1741913
2010-02-26,17860.583984,18700.183594,17822.419922,18700.183594,18700.183594,2348146
2010-03-01,18700.183594,19081.820313,18700.183594,19005.492188,19005.492188,1492461
2010-03-02,18547.529297,18662.019531,18089.566406,18089.566406,18089.566406,1148025
2010-03-03,18127.728516,18318.546875,17936.910156,18242.220703,18242.220703,525494
2010-03-04,18318.546875,18318.546875,17975.074219,17975.074219,17975.074219,472117
2010-03-05,17898.748047,18127.728516,17898.748047,17898.748047,17898.748047,345242
2010-03-08,17898.748047,18089.566406,17746.093750,17898.748047,17898.748047,916391
2010-03-09,17898.748047,18318.546875,17898.748047,18318.546875,18318.546875,1109374
2010-03-10,18242.220703,18356.710938,18204.056641,18280.384766,18280.384766,703150
2010-03-11,18394.875000,18394.875000,18127.728516,18127.728516,18127.728516,238100
2010-03-12,18242.220703,18242.220703,17975.074219,18127.728516,18127.728516,524184
2010-03-15,18127.728516,18165.892578,17936.910156,17936.910156,17936.910156,880205
2010-03-16,17746.093750,17746.093750,17478.947266,17478.947266,17478.947266,758335
2010-03-17,17555.275391,17746.093750,17173.638672,17173.638672,17173.638672,557200
2010-03-18,17173.638672,17364.457031,17135.474609,17211.802734,17211.802734,688239
2010-03-19,17211.802734,17211.802734,17020.984375,17020.984375,17020.984375,854681
2010-03-22,16982.820313,17478.947266,16982.820313,17097.310547,17097.310547,503456
2010-03-23,17135.474609,17555.275391,17097.310547,17135.474609,17135.474609,526176
2010-03-24,17173.638672,17249.964844,17097.310547,17249.964844,17249.964844,325776
2010-03-25,17020.984375,17135.474609,16792.001953,16868.330078,16868.330078,354703
2010-03-26,16868.330078,17364.457031,16792.001953,17364.457031,17364.457031,746387
2010-03-29,17211.802734,17364.457031,17097.310547,17135.474609,17135.474609,432866
2010-03-30,16982.820313,17097.310547,16868.330078,16868.330078,16868.330078,312020
2010-03-31,16830.166016,17097.310547,16792.001953,16792.001953,16792.001953,390051
2010-04-01,16868.330078,16868.330078,16753.837891,16868.330078,16868.330078,702259
2010-04-02,17173.638672,17173.638672,16792.001953,16906.492188,16906.492188,499109
2010-04-05,17135.474609,17173.638672,16982.820313,17059.146484,17059.146484,696416
2010-04-06,17059.146484,17097.310547,16982.820313,16982.820313,16982.820313,651270
2010-04-07,16982.820313,16982.820313,16830.166016,16906.492188,16906.492188,438502
2010-04-08,16792.001953,16906.492188,16753.837891,16753.837891,16753.837891,697780
2010-04-09,16639.347656,16868.330078,16639.347656,16792.001953,16792.001953,602767
2010-04-12,16830.166016,16982.820313,16792.001953,16982.820313,16982.820313,774395
2010-04-13,16868.330078,16982.820313,16753.837891,16753.837891,16753.837891,306778
2010-04-14,16753.837891,16753.837891,16601.183594,16639.347656,16639.347656,219784
2010-04-15,16792.001953,16792.001953,16601.183594,16639.347656,16639.347656,788256
2010-04-16,16639.347656,16677.511719,16486.693359,16486.693359,16486.693359,594068
2010-04-19,16410.365234,16448.529297,16334.038086,16334.038086,16334.038086,405012
2010-04-20,16334.038086,16372.202148,16143.219727,16181.383789,16181.383789,526332
2010-04-21,16143.219727,16219.546875,16143.219727,16219.546875,16219.546875,384206
2010-04-22,16334.038086,16906.492188,16295.874023,16715.673828,16715.673828,551253
2010-04-23,null,null,null,null,null,null
2010-04-26,16715.673828,16792.001953,16563.019531,16563.019531,16563.019531,539171
2010-04-27,16601.183594,16792.001953,16563.019531,16753.837891,16753.837891,716486
